"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00023174","1945-06","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","6.1","0","1.7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","10",",0","0",",0","","","","","","","11.1",",0,08,+","0",",,0,30,+","0",",,0,30,+","0.5",",,0,04,","22.8",",0,14,","1149.8","0","37.1",",0","0.8",",,,0","0",",,,0","17.15",",0","20.47",",,,0","13.84",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1945-07","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","49.6","0","43.5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","0",",0","4","","","","1","","13.9",",0,04,+","0",",,0,31,+","0",",,0,31,+","0.0",",T,0,26,+","28.3",",0,22,","5.8","0","5.8",",0","0.0",",T,,0","0",",,,0","19.55",",0","22.85",",,,0","16.25",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1945-08","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","115.7","0","66.1","3,0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0","3,0","28","3,0","0","3,0","","","","","","","13.3",",0,31,+","0",",,0,31,+","0",",,0,31,+","0.0",",T,0,21,+","31.1","3,0,17,","5.8","0","0.0","3,0","0.0",",T,,0","0",",,,0","20.66","3,0","24.79","3,,,0","16.54",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1945-09","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","","","","","0",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","5,0","25","5,0","0","5,0","","","","","","","11.7","1,0,23,","0",",,0,30,+","0",",,0,30,+","0.0",",T,0,21,+","30.6","5,0,03,","","","","","0.0",",T,,0","0",",,,0","20.29","6,0","24.33","5,,,0","16.26","1,,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1945-10","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","","","21.5","3,0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0","3,0","14","3,0","1","3,0","1","","","","","","9.4",",0,26,","0",",,0,31,+","0",",,0,31,+","6.1",",,0,29,","36.1","3,0,02,","","","29.1","3,0","11.7",",,,0","0",",,,0","18.09","3,0","22.30","3,,,0","13.89",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1945-11","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","","","4.2","3,0","2",",0","1",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","2,0","10","2,0","1","2,0","3","","","","","","3.9","1,0,28,","0",",,0,30,+","0",",,0,30,+","3.0",",,0,29,","32.8","2,0,03,","","","126.6","2,0","4.5",",,,0","0",",,,0","13.97","3,0","20.09","2,,,0","7.86","1,,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1945-12","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","","","0.0","2,0","8",",0","4",",0","2",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","4","1,0","0","1,0","1","","","","","","2.2","1,0,09,","0",",,0,31,+","0",",,0,31,+","47.2",",,0,22,","27.8","1,0,30,","","","165.0","1,0","113.1",",,,0","0",",,,0","12.65","2,0","17.80","1,,,0","7.49","1,,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1946-01","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","0.0","0","0.0","1,0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","6","1,0","0","1,0","2","","","","","","1.1",",0,31,","0",",,0,31,+","0",",,0,31,+","2.0",",,0,05,+","24.4","1,0,26,","","","177.8","1,0","6.3",",,,0","0",",,,0","12.43","1,0","18.68","1,,,0","6.18",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1946-02","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","0.0","0","0.0",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","2","","","","","","2.2",",0,12,","0",",,0,28,+","0",",T,0,11,","11.4",",,0,03,","22.2",",0,01,","","","210.6",",0","13.4",",,,0","0",",T,,0","10.81",",0","16.26",",,,0","5.36",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1946-03","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","0.0","0","0.0","1,0","8",",0","6",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","4",",0","0",",0","2","","","","","","5.0","1,0,21,","0",",,0,31,+","0",",,0,31,+","21.8",",,0,30,","26.7",",0,01,","","","160.7",",0","83.6",",,,0","0",",,,0","12.87","1,0","17.44",",,,0","8.30","1,,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1946-04","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","2.5","0","2.5","3,0","3",",0","3",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","2,0","4","2,0","0","2,0","2","","","","","","7.8","1,0,09,+","0",",,0,30,+","0",",,0,30,+","8.4",",,0,01,","28.3","2,0,11,","","","96.1","2,0","16.5",",,,0","0",",,,0","14.79","3,0","19.01","2,,,0","10.58","1,,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1946-05","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","2.5","0","0.0","1,0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","3","1,0","0","1,0","3","","","","","","10.0",",0,28,+","0",",,0,31,+","0",",,0,31,+","0.0",",T,0,26,+","21.1","1,0,30,+","","","85.4","1,0","0.0",",T,,0","0",",,,0","15.50","1,0","18.70","1,,,0","12.29",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1946-06","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","14.2","0","11.7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","0",",0","","","","","","","11.7",",0,10,+","0",",,0,30,+","0",",,0,30,+","0.0",",T,0,21,+","25.0",",0,12,+","","","11.3",",0","0.0",",T,,0","0",",,,0","18.35",",0","22.56",",,,0","14.13",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1946-07","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","61.0","0","46.8",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","0",",0","","","","","","","13.3",",0,16,","0",",,0,31,+","0",",,0,31,+","0.0",",T,0,23,+","26.7",",0,31,+","0.0","0","0.0",",0","0.0",",T,,0","0",",,,0","19.84",",0","23.43",",,,0","16.25",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1946-08","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","115.0","0","54.0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","","","","","","","13.3",",0,30,","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","27.8",",0,11,","0.6","0","0.6",",0","0.0",",,,0","0",",,,0","20.05",",0","23.88",",,,0","16.22",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1946-09","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","171.2","0","56.2","2,0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0","2,0","28","2,0","2","2,0","","","","","","","12.8",",0,15,+","0",",,0,30,+","0",",,0,30,+","0.3",",,0,30,","33.3","2,0,18,","3.4","0","2.8","2,0","0.3",",,,0","0",",,,0","20.29","2,0","24.97","2,,,0","15.60",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1946-10","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","176.8","0","5.6","2,0","6",",0","3",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","16","1,0","0","1,0","4","","","","","","6.1","1,0,30,","0",",,0,31,+","0",",,0,31,+","11.2",",,0,01,","30.0","1,0,11,","64.5","0","61.1","1,0","20.3",",,,0","0",",,,0","16.46","2,0","21.80","1,,,0","11.11","1,,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1946-11","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","176.8","0","0.0","1,0","9",",0","6",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","8","1,0","0","1,0","4","","","","2","","5.6",",0,25,+","0",",,0,30,+","0",",,0,30,+","67.8",",,0,12,","25.6","1,0,27,","197.1","0","132.6","1,0","201.3",",,,0","0",",,,0","13.74","1,0","19.07","1,,,0","8.41",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1946-12","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","176.8","0","0.0",",0","7",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","4","","","","","","1.7",",0,19,","0",",,0,31,+","0",",,0,31,+","45.2",",,0,25,","21.7",",0,10,","380.8","0","183.7",",0","73.9",",,,0","0",",,,0","12.41",",0","17.10",",,,0","7.71",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1947-01","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","0.0","0","0.0",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","6",",0","0",",0","15","","","","","","-0.6",",0,16,","0",",,0,31,+","0",",,0,31,+","2.3",",,0,28,","23.3",",0,21,+","616.3","0","235.5",",0","2.3",",,,0","0",",,,0","10.74",",0","17.33",",,,0","4.14",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1947-02","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","0.3","0","0.3",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","18","","","","","","5.6",",0,06,","0",",,0,28,+","0",",,0,28,+","10.2",",,0,09,","26.7",",0,04,","742.4","0","126.1",",0","11.2",",,,0","0",",,,0","13.84",",0","19.18",",,,0","8.51",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1947-03","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","2.5","0","2.2",",0","7",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","8",",0","0",",0","15","","","","1","","6.1",",0,06,+","0",",,0,31,+","0",",,0,31,+","9.1",",,0,05,","29.4",",0,25,","853.8","0","111.4",",0","26.0",",,,0","0",",,,0","14.81",",0","19.72",",,,0","9.90",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1947-04","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","16.1","0","13.6",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","7",",0","2",",0","11","","","","","","6.7",",0,04,","0",",,0,30,+","0",",,0,30,+","4.6",",,0,22,","32.2",",0,13,+","946.9","0","93.1",",0","5.9",",,,0","0",",,,0","15.68",",0","20.50",",,,0","10.87",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1947-05","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","18.0","0","1.9",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","10","","","","","","10.6",",0,13,","0",",,0,31,+","0",",,0,31,+","0.8",",,0,27,","24.4",",0,31,+","1002.3","0","55.4",",0","1.1",",,,0","0",",,,0","16.61",",0","20.15",",,,0","13.06",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1947-06","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","28.7","0","10.7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","0",",0","4","","","","","","11.7",",0,04,","0",",,0,30,+","0",",,0,30,+","0.0",",T,0,28,+","25.0",",0,13,","1011.0","0","8.7",",0","0.0",",T,,0","0",",,,0","18.40",",0","22.10",",,,0","14.70",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1947-07","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","75.8","0","47.1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","0",",0","15","","","","","","11.1",",0,06,","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","31.1",",0,27,","4.7","0","4.7",",0","0.0",",,,0","0",",,,0","19.70",",0","25.03",",,,0","14.37",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1947-08","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","135.8","0","60.0",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","9","","","","","","12.8",",0,31,+","0",",,0,31,+","0",",,0,31,+","0.3",",,0,08,","31.1",",0,08,","6.9","0","2.2",",0","0.3",",,,0","0",",,,0","20.20",",0","24.62",",,,0","15.77",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1947-09","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","181.5","0","45.7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","0",",0","15","","","","","","11.7",",0,19,","0",",,0,30,+","0",",,0,30,+","0.8",",,0,17,","30.6",",0,22,","9.4","0","2.5",",0","0.8",",,,0","0",",,,0","19.77",",0","24.11",",,,0","15.43",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1947-10","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","186.0","0","4.5","1,0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",X","0",",0","0","1,X","25","1,X","0","1,X","20","","","","","","9.4",",0,26,+","0",",,0,31,+","0",",,0,31,+","4.3",",,0,10,","27.2","1,X,24,","37.4","0","28.0","1,X","6.4",",,,0","0",",,,0","17.52","1,0","22.42","1,,,X","12.63",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1947-11","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","186.0","0","0.0",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","12","","","","","","3.3",",0,24,+","0",",,0,30,+","0",",,0,30,+","0.5",",,0,28,","23.9",",0,03,","177.9","0","140.5",",0","0.8",",,,0","0",",,,0","13.65",",0","19.60",",,,0","7.70",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1947-12","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","189.3","0","3.3",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","14","","","","1","","1.7",",0,31,","0",",,0,31,+","0",",,0,31,+","14.7",",,0,04,","30.0",",0,26,","348.3","0","170.4",",0","24.9",",,,0","0",",,,0","12.95",",0","19.22",",,,0","6.67",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1948-01","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","0.3","0","0.3",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","7",",0","0",",0","15","","","","","","0.0",",0,28,","0",",,0,31,+","0",",,0,31,+","3.8",",,0,26,","28.3",",0,13,","522.3","0","174.0",",0","3.8",",,,0","0",",,,0","12.73",",0","18.77",",,,0","6.68",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1948-02","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","1.1","0","0.8",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","8","","","","","","1.1",",0,12,","0",",,0,29,+","0",",,0,29,+","21.6",",,0,05,","27.2",",0,17,+","722.7","0","200.4",",0","25.4",",,,0","0",",,,0","11.45",",0","17.03",",,,0","5.87",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1948-03","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","1.1","0","0.0",",0","7",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","7","","","","","","4.4",",0,05,","0",",,0,31,+","0",",,0,31,+","17.8",",,0,24,","22.8",",0,27,","915.7","0","193.0",",0","56.8",",,,0","0",",,,0","12.11",",0","17.09",",,,0","7.13",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1948-04","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","7.0","0","5.9",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","8",",0","0",",0","7","","","","","","6.1",",0,04,","0",",,0,30,+","0",",,0,30,+","8.4",",,0,28,","29.4",",0,16,","1022.7","0","107.0",",0","16.0",",,,0","0",",,,0","14.96",",0","19.60",",,,0","10.32",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1948-05","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","8.4","0","1.4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","7","","","","","","7.8",",0,21,+","0",",,0,31,+","0",",,0,31,+","0.0",",T,0,30,+","25.0",",0,04,","1105.1","0","82.4",",0","0.0",",T,,0","0",",,,0","15.72",",0","20.17",",,,0","11.26",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1948-06","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","9.9","0","1.5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","19",",0","0",",0","9","","","","","","10.6",",0,06,+","0",",,0,30,+","0",",,0,30,+","0.8",",,0,01,","22.8",",0,22,+","1135.3","0","30.2",",0","1.1",",,,0","0",",,,0","17.38",",0","21.12",",,,0","13.63",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1948-07","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","27.6","0","17.7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","0",",0","10","","","","","","11.1",",0,06,","0",",,0,31,+","0",",,0,31,+","0.0",",T,0,19,+","26.1",",0,10,","5.1","0","5.1",",0","0.0",",T,,0","0",",,,0","18.74",",0","22.95",",,,0","14.53",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1948-08","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","47.1","0","19.5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","16","","","","","","10.6",",0,09,","0",",,0,31,+","0",",,0,31,+","0.0",",T,0,03,","27.8",",0,31,+","9.7","0","4.6",",0","0.0",",T,,0","0",",,,0","18.81",",0","22.79",",,,0","14.83",",,,0","","","","","","","","","","","","","","","","","",""
