"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00094789","1949-05","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","19.6","0","19.0",",0","14",",0","9",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","13",",0","0",",0","14","","","","5","","6.7",",0,21,","0",",,0,31,+","0",",,0,31,+","39.6",",,0,22,","30.6",",0,19,","","","91.0",",0","151.0",",,,0","0",",,,0","16.01",",0","21.02",",,,0","11.00",",,,0","","","","","","","","","","","","","","","",""
"USW00094789","1949-06","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","141.3","0","121.7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","3",",0","6","","","","","","11.1",",0,03,","0",",,0,30,+","0",",,0,30,+","0.0",",T,0,27,+","37.2",",0,26,","","","9.0",",0","0.0",",T,,0","0",",,,0","22.09",",0","26.63",",,,0","17.55",",,,0","","","","","","","","","","","","","","","",""
"USW00094789","1949-07","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","376.0","0","234.7",",0","8",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","11",",0","9","","","","6","","16.7",",0,01,","0",",,0,31,+","0",",T,0,28,","21.1",",,0,17,","36.7",",0,28,","0.0","0","0.0",",0","65.4",",,,0","0",",T,,0","25.90",",0","30.13",",,,0","21.68",",,,0","","","","","","","","","","","","","","","",""
"USW00094789","1949-08","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","554.0","0","178.0",",0","9",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","4",",0","9","","","","7","","12.8",",0,20,","0",",,0,31,+","0",",,0,31,+","38.9",",,0,13,","37.2",",0,11,","0.0","0","0.0",",0","133.8",",,,0","0",",,,0","24.08",",0","28.45",",,,0","19.71",",,,0","","","","","","","","","","","","","","","",""
"USW00094789","1949-09","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","585.8","0","31.8",",0","14",",0","8",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","20",",0","0",",0","8","","","","3","","8.3",",0,26,","0",",,0,30,+","0",",,0,30,+","22.9",",,0,22,","28.3",",0,19,","33.6","0","33.6",",0","88.4",",,,0","0",",,,0","18.27",",0","22.68",",,,0","13.87",",,,0","","","","","","","","","","","","","","","",""
"USW00094789","1949-10","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","603.9","0","18.1",",0","10",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","13",",0","0",",0","7","","","","","","5.0",",0,28,+","0",",,0,31,+","0",",,0,31,+","25.4",",,0,26,","27.8",",0,10,","119.0","0","85.4",",0","58.7",",,,0","0",",,,0","16.16",",0","20.38",",,,0","11.94",",,,0","","","","","","","","","","","","","","","",""
"USW00094789","1949-11","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","603.9","0","0.0",",0","8",",0","5",",0","0",",0","0",",0","0",",0","0",",0","6",",0","0",",0","1",",0","0",",0","11","","","","","","-5.0",",0,27,","0",",T,0,27,","13",",,0,27,","11.4",",,0,25,","21.1",",0,08,","447.3","0","328.3",",0","33.0",",,,0","13",",,,0","7.39",",0","11.71",",,,0","3.07",",,,0","","","","","","","","","","","","","","","",""
"USW00094789","1949-12","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","603.9","0","0.0",",0","11",",0","10",",0","0",",0","0",",0","1",",0","0",",0","16",",0","2",",0","0",",0","0",",0","15","","","","","","-6.1",",0,16,+","0",",,0,31,+","41",",,0,07,","17.5",",,0,27,","14.4",",0,28,+","910.5","0","463.2",",0","70.8",",,,0","41",",,,0","3.39",",0","7.24",",,,0","-0.46",",,,0","","","","","","","","","","","","","","","",""
"USW00094789","1950-01","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","0.0","Z","0.0",",0","15",",0","8",",0","0",",0","0",",0","0",",0","0",",0","15",",0","2",",0","0",",0","0",",0","14","","","","","","-8.9",",0,08,","0",",T,0,12,","0",",T,0,31,+","12.4",",,0,10,","20.6",",0,26,","1333.0","Z","422.5",",0","55.9",",,,0","0",",T,,0","4.70",",0","8.77",",,,0","0.64",",,,0","","","","","","","","","","","","","","","",""
"USW00094789","1950-02","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","0.0","Z","0.0",",0","13",",0","9",",0","0",",0","5",",0","4",",0","0",",0","21",",0","5",",0","0",",0","0",",0","13","","","","","","-13.9",",0,21,+","51",",,0,22,+","76",",,0,13,","20.6",",,0,14,","8.9",",0,12,+","1844.2","Z","511.2",",0","93.4",",,,0","206",",,,0","0.08",",0","3.83",",,,0","-3.68",",,,0","","","","","","","","","","","","","","","",""
"USW00094789","1950-03","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","0.0","Z","0.0",",0","15",",0","8",",0","0",",0","0",",0","1",",0","0",",0","20",",0","3",",0","0",",0","0",",0","10","","","","1","","-11.1",",0,04,+","0",",,0,31,+","25",",,0,13,","24.9",",,0,21,","16.7",",0,29,","2342.6","Z","498.4",",0","82.5",",,,0","38",",,,0","2.26",",0","6.96",",,,0","-2.45",",,,0","","","","","","","","","","","","","","","",""
"USW00094789","1950-04","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","0.0","Z","0.0",",0","14",",0","8",",0","0",",0","0",",0","0",",0","0",",0","7",",0","0",",0","2",",0","0",",0","15","","","","1","","-2.8",",0,14,+","0",",,0,30,+","15",",,0,14,","16.0",",,0,28,","22.8",",0,19,","2641.7","Z","299.1",",0","47.0",",,,0","20",",,,0","8.36",",0","12.83",",,,0","3.89",",,,0","","","","","","","","","","","","","","","",""
"USW00094789","1950-05","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","0.0","Z","0.0",",0","15",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","19","","","","1","","5.6",",0,08,+","0",",,0,31,+","0",",,0,31,+","25.1",",,0,29,","27.2",",0,07,","2777.2","Z","135.5",",0","70.9",",,,0","0",",,,0","13.96",",0","18.25",",,,0","9.68",",,,0","","","","","","","","","","","","","","","",""
"USW00094789","1950-06","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","72.7","Z","72.7",",Z","","","","","","","","","","","0",",Z","0",",Z","0",",Z","23",",Z","2",",Z","","","","","","","10.6",",Z,18,","","","","","","","33.9",",Z,25,","2794.4","Z","17.2",",Z","","","","","20.18",",Z","24.52",",,,Z","15.85",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1950-07","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","227.0","Z","154.3",",Z","","","","","","","","","","","0",",Z","0",",Z","0",",Z","31",",Z","0",",Z","","","","","","","16.1",",Z,24,+","","","","","","","31.1",",Z,25,+","0.0","Z","0.0",",Z","","","","","23.31",",Z","27.39",",,,Z","19.23",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1950-08","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","348.2","Z","121.2",",Z","","","","","","","","","","","0",",Z","0",",Z","0",",Z","31",",Z","0",",Z","","","","","","","14.4",",Z,21,","","","","","","","30.0",",Z,09,","0.0","Z","0.0",",Z","","","","","22.24",",Z","25.89",",,,Z","18.59",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1950-09","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","378.6","Z","30.4","2,Z","","","","","","","","","","","0","1,Z","0","1,Z","0","1,Z","14","1,Z","0","1,Z","","","","","","","4.4","1,Z,25,","","","","","","","30.6","1,Z,01,","57.2","Z","57.2","1,Z","","","","","17.64","2,Z","21.36","1,,,Z","13.91","1,,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1950-10","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","383.9","Z","5.3",",Z","","","","","","","","","","","0",",Z","0",",Z","0",",Z","8",",Z","0",",Z","","","","","","","1.7",",Z,27,","","","","","","","28.9",",Z,01,","179.6","Z","122.4",",Z","","","","","14.55",",Z","18.75",",,,Z","10.36",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1950-11","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","385.6","Z","1.7","2,Z","","","","","","","","","","","0","1,Z","5","1,Z","0","1,Z","1","1,Z","0","1,Z","","","","","","","-1.1","1,Z,26,","","","","","","","26.7","1,Z,01,","458.6","Z","279.0","1,Z","","","","","8.43","2,Z","12.34","1,,,Z","4.53","1,,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1950-12","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","385.6","Z","0.0",",Z","","","","","","","","","","","0",",Z","19",",Z","6",",Z","0",",Z","0",",Z","","","","","","","-12.2",",Z,27,","","","","","","","15.0",",Z,04,","971.6","Z","513.0",",Z","","","","","1.78",",Z","4.95",",,,Z","-1.38",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1951-01","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","0.0","Z","0.0","3,Z","","","","","","","","","","","0","1,Z","20","1,Z","3","2,Z","0","2,Z","0","2,Z","","","","","","","-10.0","1,Z,31,","","","","","","","14.4","2,Z,19,","1417.3","Z","445.7","2,Z","","","","","2.21","3,Z","6.07","2,,,Z","-1.65","1,,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1951-02","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","0.0","Z","0.0","1,Z","","","","","","","","","","","0","1,Z","17","1,Z","4",",Z","0",",Z","0",",Z","","","","","","","-11.1","1,Z,09,","","","","","","","16.1",",Z,27,","1862.7","Z","445.4",",Z","","","","","1.90","1,Z","5.51",",,,Z","-1.72","1,,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1951-03","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","0.0","Z","0.0",",Z","","","","","","","","","","","0",",Z","9",",Z","0",",Z","0",",Z","0",",Z","","","","","","","-3.9",",Z,10,","","","","","","","13.9",",Z,31,","2285.5","Z","422.8",",Z","","","","","4.69",",Z","7.70",",,,Z","1.68",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1951-04","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","0.3","Z","0.3",",Z","","","","","","","","","","","0",",Z","0",",Z","0",",Z","3",",Z","0",",Z","","","","","","","3.3",",Z,17,","","","","","","","25.6",",Z,26,","2516.7","Z","231.2",",Z","","","","","10.64",",Z","14.41",",,,Z","6.87",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1951-05","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","11.2","Z","10.9",",Z","","","","","","","","","","","0",",Z","0",",Z","0",",Z","12",",Z","0",",Z","","","","","","","6.1",",Z,05,","","","","","","","27.8",",Z,02,","2597.7","Z","81.0",",Z","","","","","16.07",",Z","20.51",",,,Z","11.63",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1951-06","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","72.5","Z","61.3",",Z","","","","","","","","","","","0",",Z","0",",Z","0",",Z","23",",Z","0",",Z","","","","","","","10.6",",Z,12,","","","","","","","30.6",",Z,25,","2614.0","Z","16.3",",Z","","","","","19.83",",Z","23.34",",,,Z","16.32",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1951-07","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","229.0","Z","156.5",",Z","","","","","","","","","","","0",",Z","0",",Z","0",",Z","31",",Z","1",",Z","","","","","","","16.7",",Z,21,+","","","","","","","32.2",",Z,27,","0.0","Z","0.0",",Z","","","","","23.38",",Z","26.91",",,,Z","19.86",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1951-08","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","369.7","Z","140.7",",Z","","","","","","","","","","","0",",Z","0",",Z","0",",Z","31",",Z","0",",Z","","","","","","","15.0",",Z,05,","","","","","","","31.7",",Z,01,","0.0","Z","0.0",",Z","","","","","22.87",",Z","26.27",",,,Z","19.47",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1951-09","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","428.0","Z","58.3",",Z","","","","","","","","","","","0",",Z","0",",Z","0",",Z","25",",Z","0",",Z","","","","","","","5.6",",Z,30,","","","","","","","27.2",",Z,19,","23.3","Z","23.3",",Z","","","","","19.50",",Z","23.41",",,,Z","15.59",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1951-10","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","438.6","Z","10.6",",Z","","","","","","","","","","","0",",Z","0",",Z","0",",Z","8",",Z","0",",Z","","","","","","","5.6",",Z,14,","","","","","","","28.3",",Z,05,","154.0","Z","130.7",",Z","","","","","14.46",",Z","18.12",",,,Z","10.80",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1951-11","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","438.6","Z","0.0","2,Z","","","","","","","","","","","0","1,Z","10","1,Z","0","1,Z","0","1,Z","0","1,Z","","","","","","","-5.0","1,Z,28,","","","","","","","17.8","1,Z,15,","494.9","Z","340.9","1,Z","","","","","6.23","2,Z","10.21","1,,,Z","2.26","1,,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1951-12","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","438.6","Z","0.0",",Z","","","","","","","","","","","0",",Z","16",",Z","5",",Z","0",",Z","0",",Z","","","","","","","-12.8",",Z,17,","","","","","","","17.2",",Z,08,","961.0","Z","466.1",",Z","","","","","3.30",",Z","6.87",",,,Z","-0.27",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1952-01","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","0.0","Z","0.0",",Z","","","","","","","","","","","0",",Z","19",",Z","5",",Z","0",",Z","0",",Z","","","","","","","-13.3",",Z,30,","","","","","","","13.3",",Z,27,","1465.4","Z","504.4",",Z","","","","","2.06",",Z","5.29",",,,Z","-1.17",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1952-02","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","0.0","Z","0.0",",Z","","","","","","","","","","","0",",Z","19",",Z","1",",Z","0",",Z","0",",Z","","","","","","","-8.3",",Z,14,","","","","","","","10.0",",Z,05,+","1933.8","Z","468.4",",Z","","","","","2.18",",Z","5.20",",,,Z","-0.84",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1952-03","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","0.0","Z","0.0",",Z","","","","","","","","","","","0",",Z","15",",Z","1",",Z","0",",Z","0",",Z","","","","","","","-3.3",",Z,16,+","","","","","","","15.6",",Z,21,","2378.5","Z","444.7",",Z","","","","","3.99",",Z","6.92",",,,Z","1.05",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1952-04","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","3.9","Z","3.9",",Z","","","","","","","","","","","0",",Z","0",",Z","0",",Z","6",",Z","0",",Z","","","","","","","1.1",",Z,12,","","","","","","","28.3",",Z,20,","2585.6","Z","207.1",",Z","","","","","11.56",",Z","15.39",",,,Z","7.73",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1952-05","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","9.2","Z","5.3",",Z","","","","","","","","","","","0",",Z","0",",Z","0",",Z","14",",Z","0",",Z","","","","","","","6.7",",Z,02,","","","","","","","26.7",",Z,27,","2679.4","Z","93.8",",Z","","","","","15.48",",Z","19.61",",,,Z","11.35",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1952-06","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","134.8","Z","125.6",",Z","","","","","","","","","","","0",",Z","0",",Z","0",",Z","26",",Z","5",",Z","","","","","","","15.0",",Z,23,+","","","","","","","37.2",",Z,26,","2685.7","Z","6.3",",Z","","","","","22.31",",Z","26.56",",,,Z","18.06",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1952-07","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","351.9","Z","217.1",",Z","","","","","","","","","","","0",",Z","0",",Z","0",",Z","31",",Z","7",",Z","","","","","","","15.6",",Z,01,","","","","","","","33.3",",Z,28,+","0.0","Z","0.0",",Z","","","","","25.34",",Z","29.12",",,,Z","21.55",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1952-08","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","498.1","Z","146.2",",Z","","","","","","","","","","","0",",Z","0",",Z","0",",Z","31",",Z","0",",Z","","","","","","","13.9",",Z,24,+","","","","","","","30.0",",Z,30,+","0.0","Z","0.0",",Z","","","","","23.05",",Z","26.49",",,,Z","19.61",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1952-09","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","567.3","Z","69.2",",Z","","","","","","","","","","","0",",Z","0",",Z","0",",Z","24",",Z","2",",Z","","","","","","","10.6",",Z,09,","","","","","","","34.4",",Z,13,","18.5","Z","18.5",",Z","","","","","20.02",",Z","24.11",",,,Z","15.93",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1952-10","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","569.0","Z","1.7",",Z","","","","","","","","","","","0",",Z","1",",Z","0",",Z","5",",Z","0",",Z","","","","","","","0.0",",Z,20,","","","","","","","25.6",",Z,14,","207.2","Z","188.7",",Z","","","","","12.30",",Z","16.49",",,,Z","8.11",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1952-11","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","569.0","Z","0.0",",Z","","","","","","","","","","","0",",Z","2",",Z","0",",Z","1",",Z","0",",Z","","","","","","","-1.7",",Z,29,","","","","","","","21.1",",Z,01,","500.7","Z","293.5",",Z","","","","","8.55",",Z","11.70",",,,Z","5.39",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1952-12","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","569.0","Z","0.0",",Z","","","","","","","","","","","0",",Z","12",",Z","1",",Z","0",",Z","0",",Z","","","","","","","-10.6",",Z,28,","","","","","","","13.3",",Z,11,","966.2","Z","465.5",",Z","","","","","3.32",",Z","6.08",",,,Z","0.55",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1953-01","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","0.0","Z","0.0",",Z","","","","","","","","","","","0",",Z","16",",Z","1",",Z","0",",Z","0",",Z","","","","","","","-5.0",",Z,27,+","","","","","","","14.4",",Z,16,","1446.2","Z","480.0",",Z","","","","","2.85",",Z","5.79",",,,Z","-0.09",",,,Z","","","","","","","","","","","","","","","",""
"USW00094789","1953-02","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","0.0","Z","0.0",",Z","","","","","","","","","","","0",",Z","16",",Z","1",",Z","0",",Z","0",",Z","","","","","","","-8.9",",Z,02,","","","","","","","17.2",",Z,21,","1865.2","Z","419.0",",Z","","","","","3.37",",Z","6.86",",,,Z","-0.13",",,,Z","","","","","","","","","","","","","","","",""
